Posição,Frequência,Porcentagem (%)
9,3,17.65
5,2,11.76
6,2,11.76
8,2,11.76
12,2,11.76
Ret,2,11.76
4,1,5.88
DSQ,1,5.88
10,1,5.88
11,1,5.88
