Posição,Frequência,Porcentagem (%)
10,5,25.0
7,2,10.0
Ret,2,10.0
17,2,10.0
16,1,5.0
6,1,5.0
22,1,5.0
9,1,5.0
12,1,5.0
18,1,5.0
14,1,5.0
15,1,5.0
8,1,5.0
