Posição,Frequência,Porcentagem (%)
Ret,4,22.22
13,2,11.11
11,2,11.11
14,2,11.11
16,2,11.11
DSQ,1,5.56
6,1,5.56
7,1,5.56
3,1,5.56
17,1,5.56
15,1,5.56
