Pilotos,Pilotos,1BHR,2MYS,3AUS,4SMR,5EUR,6ESP,7MCO,8GBR,9CAN,10USA,11FRA,12DEU,13HUN,14TUR,15ITA,16CHN,17JPN,18BRA,Pts
Pilotos,Pilotos,1BHR,2MYS,3AUS,4SMR,5EUR,6ESP,7MCO,8GBR,9CAN,10USA,11FRA,12DEU,13HUN,14TUR,15ITA,16CHN,17JPN,18BRA,Pts
1.,F. ALONSO,10,8,10,8,8,10,10,10,10,4,8,4,-,8,-,8,10,8,134.00
2.,M. SCHUMACHER,8,3,-,10,10,8,4,8,8,10,10,10,1,6,10,10,-,5,121.00
3.,F. MASSA,-,4,-,5,6,5,-,4,4,8,6,8,2,10,-,-,8,10,80.00
4.,G. FISICHELLA,-,10,4,1,3,6,3,5,5,6,3,3,-,3,5,6,6,3,72.00
5.,K. RAIKKONEN,6,-,8,4,5,4,-,6,6,-,4,6,-,-,8,-,4,4,65.00
6.,J. BUTTON,5,6,-,2,-,3,-,-,-,-,-,5,10,5,4,5,5,6,56.00
7.,R. BARRICHELLO,-,-,2,-,4,2,5,-,-,3,-,-,5,1,3,3,-,2,30.00
8.,J. MONTOYA,4,5,-,6,-,-,8,3,-,-,,,,,,,,,26.00
9.,N. HEIDFELD,-,-,5,-,-,1,2,2,2,-,1,-,6,-,1,2,1,-,23.00
10.,R. SCHUMACHER,-,1,6,-,-,-,1,-,-,-,5,-,3,2,-,-,2,-,20.00
11.,P. de la ROSA,,,,,,,,,,,2,-,8,4,-,4,-,1,19.00
12.,J. TRULLI,-,-,-,-,-,-,-,-,3,5,-,2,-,-,2,-,3,-,15.00
13.,D. COULTHARD,-,-,1,-,-,-,6,-,1,2,-,-,4,-,-,-,-,-,14.00
14.,M. WEBBER,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,7.00
15.,J. VILLENEUVE,-,2,3,-,1,-,-,1,-,-,-,-,,,,,,,7.00
16.,R. KUBICA,,,,,,,,,,,,,-,-,6,-,-,-,6.00
17.,N. ROSBERG,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,4.00
18.,C. KLIEN,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,2.00
19.,V. LIUZZI,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1.00
20.,S. SPEED,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00
21.,T. MONTEIRO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00
22.,C. ALBERS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00
23.,T. SATO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00
24.,R. DOORNBOS,,,,,,,,,,,,,,,,-,-,-,0.00
25.,Y. IDE,-,-,-,-,,,,,,,,,,,,,,,0.00
26.,S. YAMAMOTO,,,,,,,,,,,,-,-,-,-,-,-,-,0.00
27.,F. MONTAGNY,,,,,-,-,-,-,-,-,-,,,,,,,,0.00
