Posição,Frequência,Porcentagem (%)
Ret,5,23.81
14,3,14.29
17,2,9.52
10,2,9.52
12,2,9.52
11,2,9.52
15,1,4.76
20,1,4.76
19,1,4.76
13,1,4.76
9,1,4.76
