Posição,Frequência,Porcentagem (%)
6,3,17.65
7,2,11.76
5,2,11.76
10,2,11.76
4,2,11.76
WD,1,5.88
-,1,5.88
2,1,5.88
18,1,5.88
1,1,5.88
Ret,1,5.88
