Posição,Frequência,Porcentagem (%)
16,5,22.73
18,3,13.64
Ret,3,13.64
17,3,13.64
15,2,9.09
14,1,4.55
7,1,4.55
9,1,4.55
11,1,4.55
19,1,4.55
12,1,4.55
