Posição,Frequência,Porcentagem (%)
4,2,11.76
5,2,11.76
8,2,11.76
6,2,11.76
15,2,11.76
3,2,11.76
13,1,5.88
10,1,5.88
Ret,1,5.88
12,1,5.88
7,1,5.88
