Posição,Frequência,Porcentagem (%)
13,3,13.64
12,3,13.64
15,2,9.09
5,2,9.09
Ret,2,9.09
10,2,9.09
11,2,9.09
2,1,4.55
9,1,4.55
17,1,4.55
DSQ,1,4.55
18,1,4.55
7,1,4.55
