Posição,Frequência,Porcentagem (%)
8,4,23.53
7,3,17.65
9,2,11.76
10,1,5.88
13,1,5.88
4,1,5.88
5,1,5.88
15,1,5.88
6,1,5.88
2,1,5.88
Ret,1,5.88
