Posição,Frequência,Porcentagem (%)
Ret,6,31.58
9,3,15.79
13,2,10.53
16,2,10.53
7,1,5.26
15,1,5.26
11,1,5.26
10,1,5.26
12,1,5.26
6,1,5.26
