Posição,Frequência,Porcentagem (%)
15,3,14.29
16,3,14.29
14,3,14.29
13,2,9.52
10,2,9.52
18,2,9.52
11,1,4.76
12,1,4.76
19,1,4.76
Ret,1,4.76
9,1,4.76
5,1,4.76
