Posição,Frequência,Porcentagem (%)
5,4,18.18
10,4,18.18
3,3,13.64
7,3,13.64
4,2,9.09
8,2,9.09
Ret,1,4.55
14,1,4.55
2,1,4.55
9,1,4.55
