Posição,Frequência,Porcentagem (%)
Ret,3,17.65
7,2,11.76
11,2,11.76
9,2,11.76
8,2,11.76
6,2,11.76
15,1,5.88
1,1,5.88
5,1,5.88
13,1,5.88
