Posição,Frequência,Porcentagem (%)
2,3,16.67
3,3,16.67
Ret,2,11.11
4,2,11.11
6,2,11.11
11,2,11.11
1,1,5.56
5,1,5.56
7,1,5.56
8,1,5.56
