Posição,Frequência,Porcentagem (%)
12,4,23.53
11,3,17.65
10,2,11.76
7,2,11.76
Ret,1,5.88
9,1,5.88
8,1,5.88
15,1,5.88
19,1,5.88
4,1,5.88
