Posição,Frequência,Porcentagem (%)
4,3,15.79
9,3,15.79
Ret,2,10.53
6,2,10.53
1,2,10.53
5,2,10.53
19,1,5.26
7,1,5.26
8,1,5.26
2,1,5.26
3,1,5.26
